year,page,pdf_field_name,short_key,field_type,semantic_label,rect_x0,rect_y0,rect_x1,rect_y1
2022,2,topmostSubform[0].Page2[0].f2_30[0],f2_30,Text,,144.0,420.0,295.2,438.0
2022,2,topmostSubform[0].Page2[0].f2_31[0],f2_31,Text,,331.2,420.0,424.8,438.0
2022,2,topmostSubform[0].Page2[0].f2_32[0],f2_32,Text,,504.0,426.0,576.0,438.0
2022,2,topmostSubform[0].Page2[0].f2_33[0],f2_33,Text,,325.0,472.0,459.8,492.0
2022,2,topmostSubform[0].Page2[0].f2_34[0],f2_34,Text,,504.0,480.0,576.0,492.0
2022,2,topmostSubform[0].Page2[0].f2_35[0],f2_35,Text,,325.0,502.0,459.8,522.0
2022,2,topmostSubform[0].Page2[0].f2_36[0],f2_36,Text,,504.0,510.0,576.0,522.0
2022,2,topmostSubform[0].Page2[0].f2_37[0],f2_37,Text,,134.8,522.0,272.6,534.0
2022,2,topmostSubform[0].Page2[0].f2_38[0],f2_38,Text,,324.0,522.0,576.0,534.0
2022,2,topmostSubform[0].Page2[0].f2_39[0],f2_39,Text,,91.6,544.0,215.0,558.0
2022,2,topmostSubform[0].Page2[0].f2_40[0],f2_40,Text,,447.4,544.0,503.0,558.0
2022,2,topmostSubform[0].Page2[0].c2_07[0],c2_07,CheckBox,,511.2,547.0,519.2,555.0
2022,2,topmostSubform[0].Page2[0].f2_41[0],f2_41,Text,,143.6,558.0,459.8,570.0
2022,2,topmostSubform[0].Page2[0].f2_42[0],f2_42,Text,,498.8,558.0,576.0,570.0
2022,2,topmostSubform[0].Page2[0].f2_43[0],f2_43,Text,,151.6,570.0,459.8,582.0
2022,2,topmostSubform[0].Page2[0].f2_44[0],f2_44,Text,,500.8,570.0,576.0,582.0
2023,1,topmostSubform[0].Page1[0].f1_01[0],f1_01,Text,,226.0,62.0,302.4,74.0
2023,1,topmostSubform[0].Page1[0].f1_02[0],f1_02,Text,,348.4,62.0,424.8,74.0
2023,1,topmostSubform[0].Page1[0].f1_03[0],f1_03,Text,,439.2,62.0,464.0,74.0
2023,1,topmostSubform[0].Page1[0].f1_04[0],f1_04,Text,,36.0,88.0,236.9,102.0
2023,1,topmostSubform[0].Page1[0].f1_05[0],f1_05,Text,,238.6,88.0,467.2,102.0
2023,1,topmostSubform[0].Page1[0].f1_06[0],f1_06,Text,,469.0,88.0,576.0,102.0
2023,1,topmostSubform[0].Page1[0].f1_07[0],f1_07,Text,,36.0,112.0,236.9,126.0
2023,1,topmostSubform[0].Page1[0].f1_08[0],f1_08,Text,,238.6,112.0,467.2,126.0
2023,1,topmostSubform[0].Page1[0].f1_09[0],f1_09,Text,,469.0,112.0,576.0,126.0
2023,1,topmostSubform[0].Page1[0].Address_ReadOrder[0].f1_10[0],f1_10,Text,,36.0,136.0,416.9,150.0
2023,1,topmostSubform[0].Page1[0].Address_ReadOrder[0].f1_11[0],f1_11,Text,,418.6,136.0,467.0,150.0
2023,1,topmostSubform[0].Page1[0].Address_ReadOrder[0].f1_12[0],f1_12,Text,,36.0,160.0,337.4,174.0
2023,1,topmostSubform[0].Page1[0].Address_ReadOrder[0].f1_13[0],f1_13,Text,,339.4,160.0,402.2,174.0
2023,1,topmostSubform[0].Page1[0].Address_ReadOrder[0].f1_14[0],f1_14,Text,,404.2,160.0,467.0,174.0
2023,1,topmostSubform[0].Page1[0].Address_ReadOrder[0].f1_15[0],f1_15,Text,,36.0,184.0,258.5,198.0
2023,1,topmostSubform[0].Page1[0].Address_ReadOrder[0].f1_16[0],f1_16,Text,"Line 1a - Total wages, salaries, tips",260.2,184.0,402.5,198.0
2023,1,topmostSubform[0].Page1[0].Address_ReadOrder[0].f1_17[0],f1_17,Text,Line 1b - Household employee wages,404.2,184.0,467.2,198.0
2023,1,topmostSubform[0].Page1[0].c1_1[0],c1_1,CheckBox,,504.0,186.5,512.0,194.5
2023,1,topmostSubform[0].Page1[0].c1_2[0],c1_2,CheckBox,,540.0,186.5,548.0,194.5
2023,1,topmostSubform[0].Page1[0].c1_3[0],c1_3,CheckBox,,102.8,200.0,110.8,208.0
2023,1,topmostSubform[0].Page1[0].c1_3[1],c1_3,CheckBox,,354.8,200.0,362.8,208.0
2023,1,topmostSubform[0].Page1[0].c1_3[2],c1_3[2],CheckBox,,102.8,212.0,110.8,220.0
2023,1,topmostSubform[0].Page1[0].c1_3[3],c1_3[3],CheckBox,,102.8,224.0,110.8,232.0
2023,1,topmostSubform[0].Page1[0].c1_3[4],c1_3[4],CheckBox,,354.8,223.5,362.8,231.5
2023,1,topmostSubform[0].Page1[0].f1_18[0],f1_18,Text,Line 1c - Tip income (Form 4137),288.0,246.0,568.8,258.0
2023,1,topmostSubform[0].Page1[0].c1_4[0],c1_4,CheckBox,,504.0,277.0,512.0,285.0
2023,1,topmostSubform[0].Page1[0].c1_4[1],c1_4,CheckBox,,540.0,277.0,548.0,285.0
2023,1,topmostSubform[0].Page1[0].c1_5[0],c1_5,CheckBox,,182.0,290.0,190.0,298.0
2023,1,topmostSubform[0].Page1[0].c1_6[0],c1_6,CheckBox,,282.8,290.0,290.8,298.0
2023,1,topmostSubform[0].Page1[0].c1_7[0],c1_7,CheckBox,,95.6,302.0,103.6,310.0
2023,1,topmostSubform[0].Page1[0].c1_8[0],c1_8,CheckBox,,117.2,319.5,125.2,327.5
2023,1,topmostSubform[0].Page1[0].c1_9[0],c1_9,CheckBox,,261.2,319.5,269.2,327.5
2023,1,topmostSubform[0].Page1[0].c1_10[0],c1_10,CheckBox,,362.0,319.5,370.0,327.5
2023,1,topmostSubform[0].Page1[0].c1_11[0],c1_11,CheckBox,,506.0,319.5,514.0,327.5
2023,1,topmostSubform[0].Page1[0].Dependents_ReadOrder[0].c1_12[0],c1_12,CheckBox,,79.7,391.0,87.7,399.0
2023,1,topmostSubform[0].Page1[0].Table_Dependents[0].Row1[0].f1_19[0],f1_19,Text,,93.6,354.0,265.6,366.0
2023,1,topmostSubform[0].Page1[0].Table_Dependents[0].Row1[0].f1_20[0],f1_20,Text,,266.4,354.0,352.8,366.0
2023,1,topmostSubform[0].Page1[0].Table_Dependents[0].Row1[0].f1_21[0],f1_21,Text,,353.8,354.0,416.9,366.0
2023,1,topmostSubform[0].Page1[0].Table_Dependents[0].Row1[0].c1_13[0],c1_13,CheckBox,,453.2,356.0,461.2,364.0
2023,1,topmostSubform[0].Page1[0].Table_Dependents[0].Row1[0].c1_14[0],c1_14,CheckBox,,532.4,356.0,540.4,364.0
2023,1,topmostSubform[0].Page1[0].Table_Dependents[0].Row2[0].f1_22[0],f1_22,Text,,93.6,366.0,265.6,378.0
2023,1,topmostSubform[0].Page1[0].Table_Dependents[0].Row2[0].f1_23[0],f1_23,Text,,266.4,366.0,352.8,378.0
2023,1,topmostSubform[0].Page1[0].Table_Dependents[0].Row2[0].f1_24[0],f1_24,Text,,353.8,366.0,416.9,378.0
2023,1,topmostSubform[0].Page1[0].Table_Dependents[0].Row2[0].c1_15[0],c1_15,CheckBox,,453.2,368.0,461.2,376.0
2023,1,topmostSubform[0].Page1[0].Table_Dependents[0].Row2[0].c1_16[0],c1_16,CheckBox,,532.4,368.0,540.4,376.0
2023,1,topmostSubform[0].Page1[0].Table_Dependents[0].Row3[0].f1_25[0],f1_25,Text,Line 2b - Taxable interest,93.6,378.0,265.6,390.0
2023,1,topmostSubform[0].Page1[0].Table_Dependents[0].Row3[0].f1_26[0],f1_26,Text,Line 3b - Ordinary dividends,266.4,378.0,352.8,390.0
